time/total_timesteps,time/iterations,time/time_elapsed,train/reward,time/fps,train/n_updates,train/clip_fraction,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/approx_kl,train/clip_range,train/explained_variance,train/learning_rate,train/std
2048,1,1,0.027477844,1680,,,,,,,,,,,
4096,2,2,0.61219716,1440,10,0.052197265625,3.0892736257985236,-0.004500871608615853,-4.238112147152424,0.9433732628822327,0.0061085992,0.2,0.07885479927062988,0.00025,0.987910270690918
6144,3,4,0.035725825,1382,20,0.039794921875,7.673954609036445,-0.004545518046506913,-4.227017556130886,3.0598971843719482,0.0069443975,0.2,0.18340790271759033,0.00025,0.9923014044761658
8192,4,6,1.6279398,1353,30,0.026806640625,9.045108366012574,-0.0034563463566883003,-4.2287349358201025,4.513683795928955,0.0057366826,0.2,0.1235506534576416,0.00025,0.988694965839386
10240,5,7,3.9013894,1331,40,0.00810546875,16.97406612187624,-0.0025493432665825823,-4.217346912622451,8.598319053649902,0.0035621799,0.2,0.05599057674407959,0.00025,0.9866254329681396
12288,6,9,-0.42649478,1317,50,0.07099609375,12.46101566851139,-0.006441331864334643,-4.220967727899551,4.874390125274658,0.006542959,0.2,0.148215651512146,0.00025,0.9895725846290588
14336,7,10,0.5827175,1304,60,0.03671875,26.35447339117527,-0.0040884866248234175,-4.231646831333637,21.72914695739746,0.0041973395,0.2,0.06613266468048096,0.00025,0.9948425889015198
16384,8,12,4.0755177,1300,70,0.021435546875,34.29948434829712,-0.0021915884783084037,-4.24896307438612,8.322277069091797,0.003289985,0.2,0.0564577579498291,0.00025,0.9993166923522949
18432,9,14,-0.83001274,1296,80,0.04765625,22.23524155020714,-0.0030120132738375104,-4.260191816091537,18.216596603393555,0.004398045,0.2,-0.01582050323486328,0.00025,1.0022634267807007
20480,10,16,-0.38214,1278,90,0.0244140625,18.707731503248215,-0.00034994257002836094,-4.260817770659924,10.905423164367676,0.0054897442,0.2,0.17812907695770264,0.00025,1.0002857446670532
22528,11,17,0.21415395,1275,100,0.069775390625,32.98105873167515,-0.004698363758507185,-4.2450202569365505,17.270219802856445,0.008318224,0.2,0.11807078123092651,0.00025,0.9908027052879333
24576,12,19,-0.8478958,1274,110,0.0451171875,38.861436781287196,-0.0037707316951127723,-4.233991134166717,16.198179244995117,0.0060742805,0.2,0.13537198305130005,0.00025,0.9950787425041199
26624,13,20,-1.455166,1273,120,0.068017578125,21.43400585055351,-0.003951788489939645,-4.230208875238896,8.5947847366333,0.009172934,0.2,-0.018083691596984863,0.00025,0.9872267246246338
28672,14,22,1.7022578,1271,130,0.05107421875,29.954894670844077,-0.005400362674845382,-4.229079934954643,16.259456634521484,0.007286655,0.2,0.12650859355926514,0.00025,0.9957550168037415
30720,15,24,0.7855086,1270,140,0.0673828125,42.695238226652144,-0.005580507636477705,-4.251530808210373,21.412586212158203,0.0056744767,0.2,0.10876041650772095,0.00025,1.0008679628372192
32768,16,25,-9.88889,1270,150,0.03779296875,65.36915343999863,-0.0012604666568222455,-4.259893311560154,19.608301162719727,0.007217766,0.2,0.10223519802093506,0.00025,1.0020211935043335
34816,17,28,0.42690486,1235,160,0.05830078125,33.570523822307585,-0.004641812297631986,-4.26043886244297,21.640668869018555,0.0040603206,0.2,0.017339706420898438,0.00025,1.0000227689743042
36864,18,29,3.4520683,1236,170,0.027734375,51.05308925509453,-0.0019554206694010643,-4.26170300245285,22.35787010192871,0.0034897916,0.2,0.11109769344329834,0.00025,1.0030674934387207
38912,19,31,1.054354,1237,180,0.02255859375,60.08485895395279,-0.003146161761833355,-4.274032655358314,25.50432777404785,0.0032678526,0.2,0.17049431800842285,0.00025,1.0092346668243408
40960,20,34,0.38848796,1196,190,0.059716796875,34.60441246926784,-0.0009834103970206344,-4.290856882929802,16.27352523803711,0.0067066,0.2,0.13183444738388062,0.00025,1.0140537023544312
43008,21,36,-2.0925848,1190,200,0.06494140625,15.64998164176941,-0.005085272790165618,-4.295246700942516,9.88156795501709,0.00530057,0.2,0.08344632387161255,0.00025,1.010904312133789
45056,22,37,0.12319554,1187,210,0.066259765625,30.573255291581155,-0.0048395402627647854,-4.28870665282011,22.872289657592773,0.0052107023,0.2,0.13259530067443848,0.00025,1.0106148719787598
47104,23,39,0.08556632,1182,220,0.05205078125,46.42372405529022,-0.003612154630536679,-4.288550901412964,18.5071964263916,0.0074262777,0.2,0.17060720920562744,0.00025,1.012036919593811
49152,24,41,0.32366818,1178,230,0.0470703125,23.322913521528243,-0.004010657177423127,-4.288423545658588,15.400480270385742,0.0072502503,0.2,0.0871848464012146,0.00025,1.0093940496444702
51200,25,43,-0.0054339506,1172,240,0.09833984375,14.860365195572376,-0.004701426513202022,-4.285095497965813,6.6853837966918945,0.009396047,0.2,0.08648544549942017,0.00025,1.011238694190979
53248,26,45,-2.092283,1172,250,0.074658203125,35.39686751961708,-0.0047028970293467864,-4.29241619259119,18.376300811767578,0.008123911,0.2,0.09271156787872314,0.00025,1.01579749584198
55296,27,47,-1.4641296,1174,260,0.075146484375,54.57173181772232,-0.007520203416061122,-4.312433177232743,27.31739616394043,0.008569331,0.2,0.10355854034423828,0.00025,1.0209546089172363
57344,28,49,1.995859,1168,270,0.0529296875,9.109139519184827,-7.375271670753136e-05,-4.33018060028553,5.018892765045166,0.003037659,0.2,-0.012091398239135742,0.00025,1.0287506580352783
59392,29,50,0.651371,1168,280,0.08759765625,27.53325316309929,-0.004443568836722989,-4.345357486605645,14.504060745239258,0.005169595,0.2,0.28141558170318604,0.00025,1.032867431640625
61440,30,53,0.43315634,1146,290,0.06865234375,58.851920342445375,-0.004364394236472435,-4.358029444515705,26.66677474975586,0.00971124,0.2,0.23877298831939697,0.00025,1.0368874073028564
63488,31,55,5.335389,1150,300,0.091845703125,65.68217903375626,0.001973133327555843,-4.366362038254738,33.00889205932617,0.010188245,0.2,0.23048800230026245,0.00025,1.0383855104446411
65536,32,56,-3.0914366,1153,310,0.064306640625,48.52942017614841,-0.0018916110246209427,-4.367863756418228,15.17862319946289,0.007356591,0.2,0.2888016104698181,0.00025,1.0375856161117554
67584,33,58,1.6673223,1156,320,0.050927734375,39.30463470220566,-0.003273210523184389,-4.355685977637767,71.82150268554688,0.004316015,0.2,0.1536099910736084,0.00025,1.0302857160568237
69632,34,60,-0.060463913,1159,330,0.040380859375,62.508644711971286,-0.002323165105190128,-4.343179422616958,31.51472282409668,0.0047515994,0.2,0.18719536066055298,0.00025,1.0291439294815063
71680,35,61,11.5895,1160,340,0.057958984375,65.01978557109832,-0.0017724450648529456,-4.339940093457699,36.34066390991211,0.0065395674,0.2,0.18554407358169556,0.00025,1.0269895792007446
73728,36,63,-2.3579965,1161,350,0.072900390625,36.73715007305145,-0.0027741804442484863,-4.337300351262092,17.833974838256836,0.006375841,0.2,0.02940976619720459,0.00025,1.0291780233383179
75776,37,65,-1.7013278,1163,360,0.1005859375,46.076328778266905,-0.00861168992560124,-4.352438716590404,18.603504180908203,0.009165477,0.2,0.3346880078315735,0.00025,1.0357869863510132
77824,38,66,0.4439166,1164,370,0.0404296875,63.96851283311844,-0.0008386824454646557,-4.362373673915863,39.33618927001953,0.004504174,0.2,0.21800875663757324,0.00025,1.0366830825805664
79872,39,68,-0.29783618,1162,380,0.06240234375,83.59518996477127,-0.0010390210452897008,-4.3571447938680645,40.73885726928711,0.0077017825,0.2,0.20019292831420898,0.00025,1.032049298286438
81920,40,70,-3.4336984,1159,390,0.03740234375,42.8548321723938,-0.0007044193174806423,-4.3531885802745816,24.390487670898438,0.0060112793,0.2,0.01695072650909424,0.00025,1.0349081754684448
